env_time,Repo,BuildVersion,PackageName,PackageVersion,Branch,Relationship,DataSource
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Newtonsoft.Json.Bson,1.0.2,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,OpenTelemetry,1.7.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,OpenTelemetry.Api,1.7.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,OpenTelemetry.Api.ProviderBuilderExtensions,1.7.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,OpenTelemetry.Audit.Geneva,2.2.6,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Swashbuckle.AspNetCore,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Swashbuckle.AspNetCore.Swagger,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Swashbuckle.AspNetCore.SwaggerGen,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Swashbuckle.AspNetCore.SwaggerUI,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,System.Diagnostics.DiagnosticSource,8.0.1,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
